"filename", "language", "Lua", "YAML", "Markdown", "Shell Script", "CSS", "reStructuredText", "Diff", "XML", "C++", "Properties", "comment", "blank", "total"
"/home/lycan/Programming/rabbithole/lua_modules/share/lua/5.3/socket/url.lua", "Lua", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 17, 332
"/home/lycan/Programming/rabbithole/paths.lua", "Lua", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 31
"/home/lycan/Programming/rabbithole/picom.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 1, 5, 53
"/home/lycan/Programming/rabbithole/rabbithole/components/buttons/client.lua", "Lua", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"/home/lycan/Programming/rabbithole/rabbithole/components/buttons/global.lua", "Lua", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 21
"/home/lycan/Programming/rabbithole/rabbithole/components/buttons/taglist-global.lua", "Lua", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 64
"/home/lycan/Programming/rabbithole/rabbithole/components/buttons/taglist.lua", "Lua", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 64
"/home/lycan/Programming/rabbithole/rabbithole/components/buttons/tasklist.lua", "Lua", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 32
"/home/lycan/Programming/rabbithole/rabbithole/components/buttons/titlebar.lua", "Lua", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/lycan/Programming/rabbithole/rabbithole/components/keys/client.lua", "Lua", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 60
"/home/lycan/Programming/rabbithole/rabbithole/components/keys/global.lua", "Lua", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 24, 254
"/home/lycan/Programming/rabbithole/rabbithole/components/layouts/default.lua", "Lua", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 30
"/home/lycan/Programming/rabbithole/rabbithole/components/menus/main.lua", "Lua", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 53
"/home/lycan/Programming/rabbithole/rabbithole/components/menus/taglist-global.lua", "Lua", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 49
